slug,Store Name,City,Province,Rating,Google address (verify match)
let-s-collect-cards-burnaby,Let's Collect Cards,Burnaby,BC,4.8 (141),"9855 Austin Rd #141, Burnaby, BC V3J 1N4, Canada"
colossal-cards-and-collectables-courtenay,Colossal Cards and Collectables,Courtenay,BC,4.8 (133),"542 Comox Rd, Courtenay, BC V9N 3P6, Canada"
desert-city-games-kamloops,Desert City Games,Kamloops,BC,4.6 (92),"171 Leigh Rd, Kamloops, BC V2B 2L7, Canada"
the-game-hub-kamloops,The Game Hub,Kamloops,BC,4.9 (137),"1304 Battle St, Kamloops, BC V2C 2N8, Canada"
okanagan-sportscards-comics-kelowna,Okanagan Sportscards & Comics,Kelowna,BC,4.8 (202),"1795 Harvey Ave, Kelowna, BC V1Y 6G4, Canada"
players-choice-sports-kelowna,Players Choice Sports,Kelowna,BC,4.7 (118),"310 Banks Rd #2, Kelowna, BC V1X 6Y4, Canada"
pastime-sports-games-langley-langley,Pastime Sports & Games (Langley),Langley,BC,4.1 (539),"6375 202 St #102, Langley, BC V2Y 1N1, Canada"
collectors-corner-maple-ridge,Collectors Corner,Maple Ridge,BC,4.9 (97),"20285 Stewart Crescent Unit 102, Maple Ridge, BC V2X 8G1, Canada"
sports-card-alley-nanaimo,Sports Card Alley,Nanaimo,BC,4.3 (148),"2220 Bowen Rd, Nanaimo, BC V9S 1H9, Canada"
hobbybox604-north-vancouver,Hobbybox604,North Vancouver,BC,4.8 (53),"708 Queensbury Ave, North Vancouver, BC V7L 3V9, Canada"
pastime-sports-games-capilano-north-vancouver,Pastime Sports & Games (Capilano),North Vancouver,BC,4.6 (47),"Capilano Mall, 935 Marine Dr, North Vancouver, BC V7P 1S3, Canada"
penticton-sports-cards-collectables-penticton,Penticton Sports Cards & Collectables,Penticton,BC,4.3 (216),"288 Westminster Ave W, Penticton, BC V2A 1J9, Canada"
treasure-chest-games-collectibles-port-coquitlam,Treasure Chest Games & Collectibles,Port Coquitlam,BC,4.5 (369),"3274 Coast Meridian Rd, Port Coquitlam, BC V3B 3N4, Canada"
arcardia-collectibles-exchange-richmond,Arcardia Collectibles & Exchange,Richmond,BC,4.7 (164),"3700 Number 3 Rd Unit 2320, Richmond, BC V6X 2C1, Canada"
draw-for-turn-games-richmond,Draw For Turn Games,Richmond,BC,4.4 (52),"3851 Jacombs Rd #120, Richmond, BC V6V 2H7, Canada"
vancity-cj-trading-cards-richmond,Vancity CJ Trading Cards,Richmond,BC,4.8 (564),"3700 Number 3 Rd Unit 2340 (2nd Floor, Richmond, BC V6X 3X2, Canada"
mandalorian-emporium-squamish,Mandalorian Emporium,Squamish,BC,4.7 (33),"1333 Pemberton Ave, Squamish, BC V8B 0A6, Canada"
local-legends-cards-collectibles-vancouver,Local Legends Cards & Collectibles,Vancouver,BC,4.1 (289),"1610 Robson St #110, Vancouver, BC V6G 1C7, Canada"
ubecard-vancouver,UBECard,Vancouver,BC,4.5 (138),"4306 Dunbar St, Vancouver, BC V6S 2G3, Canada"
