slug,Store Name,City,Province,Rating,Hours,Google address (verify match)
rt-sports-cards-r-t-sport-cards-collectibles-dunnville,RT Sports Cards (R/T Sport Cards & Collectibles),Dunnville,ON,4.9 (154),Monday: 12:00 – 8:00 PM; Tuesday: 12:00 – 8:00 PM; Wednesday: 12:00 – 8:00 PM; Thursday: 12:00 – 8:00 PM; Friday: 12:00 – 8:00 PM; Saturday: 10:00 AM – 8:00 PM; Sunday: 12:00 – 8:00 PM,"3350 Dufferin St, North York, ON M6A 3A4, Canada"
slab-labs-tcg-greater-sudbury,Slab Labs TCG,Greater Sudbury,ON,,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,"4665 Notre Dame Ave, Hanmer, ON P3P 1X5, Canada"
scahub-marketplace-guelph,SCAHub Marketplace,Guelph,ON,,Monday: 5:00 – 8:00 PM; Tuesday: 5:00 – 8:00 PM; Wednesday: 10:00 AM – 8:00 PM; Thursday: 10:00 AM – 8:00 PM; Friday: 10:00 AM – 8:00 PM; Saturday: 10:00 AM – 8:00 PM; Sunday: 10:00 AM – 8:00 PM,"585 Hanlon Creek Boulevard Unit 24, Guelph, ON N1C 0A1, Canada"
player-x-kapuskasing,Player X,Kapuskasing,ON,,"Monday: 9:00 AM – 12:00 PM, 1:00 – 5:00 PM; Tuesday: 9:00 AM – 12:00 PM, 1:00 – 5:00 PM; Wednesday: 9:00 AM – 12:00 PM, 1:00 – 5:00 PM; Thursday: 9:00 AM – 12:00 PM, 1:00 – 5:00 PM; Friday: 9:00 AM – 12:00 PM, 1:00 – 5:00 PM; Saturday: Closed; Sunday: Closed","4 Byng Ave, Kapuskasing, ON P5N 1W3, Canada"
hobby-knight-in-canada-newmarket,Hobby Knight in Canada,Newmarket,ON,4.8 (58),Monday: 1:00 – 10:00 PM; Tuesday: 1:00 – 10:00 PM; Wednesday: 1:00 – 10:00 PM; Thursday: 1:00 – 10:00 PM; Friday: 1:00 – 10:00 PM; Saturday: 11:00 AM – 10:00 PM; Sunday: 11:00 AM – 9:00 PM,"297 Wellington St E #8a, Aurora, ON L4G 1G3, Canada"
bootown-s-games-and-hobbies-stratford,Bootown's Games And Hobbies,Stratford,ON,4.7 (109),Monday: 1:00 – 9:00 PM; Tuesday: 1:00 – 9:00 PM; Wednesday: 1:00 – 9:00 PM; Thursday: 1:00 – 9:00 PM; Friday: 1:00 – 9:00 PM; Saturday: 1:00 – 9:00 PM; Sunday: 12:00 – 8:00 PM,"165 Downie St Unit 3, Stratford, ON N5A 1X2, Canada"
tillsonburg-s-hobby-central-tillsonburg,Tillsonburg's Hobby Central,Tillsonburg,ON,4.9 (64),Monday: Closed; Tuesday: 10:00 AM – 5:00 PM; Wednesday: 10:00 AM – 7:00 PM; Thursday: 10:00 AM – 5:00 PM; Friday: 10:00 AM – 7:00 PM; Saturday: 10:00 AM – 4:00 PM; Sunday: 12:00 – 4:00 PM,"20 Oxford St, Tillsonburg, ON N4G 2G1, Canada"
rednails-ii-toronto,Rednails II,Toronto,ON,4.6 (298),Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:30 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 12:00 – 5:00 PM,"18A Jane St, York, ON M6S 3Y2, Canada"
elite-cards-toronto-vaughan,Elite Cards Toronto,Vaughan,ON,4.9 (31),Monday: 11:00 AM – 8:00 PM; Tuesday: 11:00 AM – 8:00 PM; Wednesday: 11:00 AM – 8:00 PM; Thursday: 11:00 AM – 8:00 PM; Friday: 11:00 AM – 8:00 PM; Saturday: 10:00 AM – 8:00 PM; Sunday: 10:00 AM – 8:00 PM,"9591 Weston Rd #4, Woodbridge, ON L4H 3A5, Canada"
sherwood-sports-cards-charlottetown,Sherwood Sports Cards,Charlottetown,PE,3.9 (251),,"161 St Peters Rd, Charlottetown, PE C1A 2Z3, Canada"
hobby-saguenay-jonquiere-saguenay,Hobby Saguenay,Jonquière (Saguenay),QC,4.5 (59),Monday: 5:00 – 9:00 PM; Tuesday: 5:00 – 9:00 PM; Wednesday: 5:00 – 9:00 PM; Thursday: 12:00 – 9:00 PM; Friday: 12:00 – 9:00 PM; Saturday: 11:00 AM – 5:00 PM; Sunday: 11:00 AM – 5:00 PM,"2300 Rang St Antoine 2eme etage, Saguenay, QC G7H 0C8, Canada"
zone-collection-rive-sud-longueuil,Zone Collection Rive-Sud,Longueuil,QC,4.7 (124),Monday: 11:00 AM – 5:00 PM; Tuesday: 11:00 AM – 5:00 PM; Wednesday: 11:00 AM – 8:00 PM; Thursday: 11:00 AM – 8:00 PM; Friday: 11:00 AM – 8:00 PM; Saturday: 10:00 AM – 5:00 PM; Sunday: 11:00 AM – 5:00 PM,"276 Bd Saint-Luc local 1, Saint-Jean-sur-Richelieu, QC J2W 1C3, Canada"
tw-repentigny-repentigny,TW Repentigny,Repentigny,QC,4.9 (449),Monday: Closed; Tuesday: Closed; Wednesday: 11:00 AM – 5:00 PM; Thursday: 11:00 AM – 7:00 PM; Friday: 11:00 AM – 8:00 PM; Saturday: 11:00 AM – 5:00 PM; Sunday: 11:00 AM – 5:00 PM,"10 Rue Notre-Dame Local 108, Repentigny, QC J6A 2X9, Canada"
hobby-champion-sainte-julie,Hobby Champion,Sainte-Julie,QC,4.7 (85),Monday: 10:30 AM – 5:30 PM; Tuesday: 10:30 AM – 5:30 PM; Wednesday: 10:30 AM – 5:30 PM; Thursday: 10:30 AM – 5:30 PM; Friday: 10:30 AM – 8:00 PM; Saturday: 10:30 AM – 5:30 PM; Sunday: 10:30 AM – 5:30 PM,"509E Av. Jules-Choquet, Sainte-Julie, QC J3E 1W6, Canada"
l-entre-jeux-shawinigan-shawinigan,L'Entre-Jeux Shawinigan,Shawinigan,QC,4.4 (29),Monday: 9:30 AM – 5:30 PM; Tuesday: 9:30 AM – 5:30 PM; Wednesday: 9:30 AM – 5:30 PM; Thursday: 9:30 AM – 9:00 PM; Friday: 9:30 AM – 9:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 12:00 – 5:00 PM,"3103 Bd Royal Local R33, Shawinigan, QC G9N 7C1, Canada"
nova-s-sports-cards-lloydminster-sk-side,Nova's Sports Cards,Lloydminster (SK side),SK,4.8 (23),Monday: Closed; Tuesday: 11:00 AM – 7:00 PM; Wednesday: 11:00 AM – 7:00 PM; Thursday: 11:00 AM – 7:00 PM; Friday: 11:00 AM – 7:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 12:00 – 5:00 PM,"4517 50 Ave Unit 4, Lloydminster, SK S9V 0Z9, Canada"
