slug,name,city,province,google_rating,google_reviews,google_addr
event-horizon-hobbies-midland,"Event Horizon Hobbies","Midland",ON,4.7,166,"845 King St, Midland, ON L4R 0B7"
hobby-knight-in-canada-newmarket,"Hobby Knight in Canada","Newmarket",ON,4.7,55,"297 Wellington St E #8a, Aurora, ON L4G 1G3"
fantasy-forged-cards-and-collectibles-orangeville,"Fantasy Forged: Cards and Collectibles","Orangeville",ON,4.8,148,"113 Broadway, Orangeville, ON L9W 1K2"
scenic-city-game-emporium-owen-sound,"Scenic City Game Emporium","Owen Sound",ON,4.8,106,"807 2nd Ave E, Owen Sound, ON N4K 2H2"
dark-crystal-cards-paris,"Dark Crystal Cards","Paris",ON,4.8,107,"19 Broadway St W Unit 7, Paris, ON N3L 2S3"
gameshq-aka-the-trading-card-store-port-perry-port-perry,"GamesHQ (aka The Trading Card Store Port Perry)","Port Perry",ON,4.9,43,"1869 Scugog St Unit1, Port Perry, ON L9L 1J1"
trade-em-stadium-stoney-creek,"Trade Em Stadium","Stoney Creek",ON,4.5,35,"570 ON-8 Unit 3, Stoney Creek, ON L8G 4M2"
bootown-s-games-and-hobbies-stratford,"Bootown's Games And Hobbies","Stratford",ON,,,
the-den-hobby-gifts-stratford,"The Den Hobby & Gifts","Stratford",ON,4.6,72,"119 Downie St, Stratford, ON N5A 1W8"
maelstrom-strathroy,"Maelstrom","Strathroy",ON,4.9,14,"89 Frank St, Strathroy, ON N7G 1X7"
mk-ultra-cards-strathroy,"MK Ultra Cards","Strathroy",ON,4.9,74,"89 Frank St, Strathroy, ON N7G 2R5"
tillsonburg-s-hobby-central-tillsonburg,"Tillsonburg's Hobby Central","Tillsonburg",ON,,,
jason-randy-s-sports-cards-timmins,"Jason & Randy's Sports & Cards","Timmins",ON,,,
rednails-ii-toronto,"Rednails II","Toronto",ON,,,""
j-b-books-cards-comics-gaming-collectables-trenton-quinte-west,"J&B Books-cards Comics Gaming Collectables","Trenton (Quinte West)",ON,4.7,379,"97 Dundas St W, Trenton, ON K8V 3P4"
elite-cards-toronto-vaughan,"Elite Cards Toronto","Vaughan",ON,,,""
nerdz-gaming-inc-nerdz-cafe-woodstock,"Nerdz Gaming Inc (Nerdz Cafe)","Woodstock",ON,4.8,150,"365 Dundas St, Woodstock, ON N4S 1B6"
nutts-collectables-woodstock,"Nutts Collectables","Woodstock",ON,3.3,38,"563 Dundas St, Woodstock, ON N4S 1C6"
sherwood-sports-cards-charlottetown,"Sherwood Sports Cards","Charlottetown",PE,,,""
shock-spring-stratford,"Shock Spring","Stratford",PE,4.8,16,"14 Kinlock Rd unit 4, Stratford, PE C1B 0A2"
next-level-games-and-collectibles-summerside,"Next Level Games and Collectibles","Summerside",PE,5.0,13,"251 Water St Unit E, Summerside, PE C1N 1B5"
hobby-saguenay-jonquiere-saguenay,"Hobby Saguenay","Jonquière (Saguenay)",QC,4.4,58,"2300 Rang St Antoine 2eme etage, Saguenay, QC G7H 0C8"
zone-collection-rive-sud-longueuil,"Zone Collection Rive-Sud","Longueuil",QC,4.7,123,"276 Bd Saint-Luc local 1, Saint-Jean-sur-Richelieu, QC J2W 1C3"
jeux-mania-mascouche,"Jeux Mania","Mascouche",QC,4.9,128,"3079 Bd de Mascouche, Mascouche, QC J7K 3B9"
tw-repentigny-repentigny,"TW Repentigny","Repentigny",QC,4.9,448,""
lgc-collections-saint-jean-sur-richelieu,"LGC Collections","Saint-Jean-sur-Richelieu",QC,5.0,19,"216 Rue Richelieu, Saint-Jean-sur-Richelieu, QC J3B 6X8"
hobby-champion-sainte-julie,"Hobby Champion","Sainte-Julie",QC,4.8,84,""
jeux-3-dragons-sainte-therese,"Jeux 3 Dragons","Sainte-Thérèse",QC,4.9,46,"60 Rue Turgeon, Sainte-Thérèse, QC J7E 3H5"
jeuxjubes-sainte-therese,"Jeuxjubes","Sainte-Thérèse",QC,,,""
l-entre-jeux-shawinigan-shawinigan,"L'Entre-Jeux Shawinigan","Shawinigan",QC,,,
nova-s-sports-cards-lloydminster-sk-side,"Nova's Sports Cards","Lloydminster (SK side)",SK,,,
