slug,name,city,province,website,status,verdict,proposed_categories,evidence,generic_sports_hits,name_suggests_sports
arkane-angel-cold-lake,Arkane Angel,Cold Lake,AB,https://www.arkane-angel.ca/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=3851568251012994274,200,NO-CATEGORY-EVIDENCE,,,,
puck-it-cards-collectibles-didsbury,Puck it Cards & Collectibles,Didsbury,AB,https://linktr.ee/puckitcards,200,BOTH,Hockey|Pokemon,Hockey: hockey\s*cards?; Pokemon: pok[eé]mon\s*(cards?|tcg|singles?|booster|etb),,
capital-city-cards-collectibles-edmonton,Capital City Cards & Collectibles,Edmonton,AB,https://www.instagram.com/capitalcitycardsyeg/?hl=en,200,NO-CATEGORY-EVIDENCE,,,,
dave-s-card-shop-edmonton,Dave's Card Shop,Edmonton,AB,http://davescardshop.ca/,http-404,UNREACHABLE,,,,
foil-city-cards-edmonton,Foil City Cards,Edmonton,AB,https://www.foilcitycards.com/,200,TCG-ONLY,Lorcana|Yu-Gi-Oh,Lorcana: \blorcana\b; Yu-Gi-Oh: yu-?gi-?oh,,
hpw-cards-inc-edmonton,HPW Cards Inc.,Edmonton,AB,https://www.hpwcards.com/,200,BOTH,Hockey|Lorcana|Magic|One Piece|Pokemon|Yu-Gi-Oh,Hockey: \bupper\s*deck\b; Lorcana: \blorcana\b; Magic: magic:?\s*the\s*gathering/\bmtg\b; One Piece: one\s*piece\s*(tcg|cards?|booster); Pokemon: pok[eé]mon\s*(cards?|tcg|singles?|booster|etb)/\bpok[eé]mon\s*center\b; Yu-Gi-Oh: yu-?gi-?oh,graded\s*cards?|psa\s*(graded|slab|10|9)|sports?\s*cards?,
prisma-games-edmonton,Prisma Games,Edmonton,AB,http://www.prismatcg.com/,200,NO-CATEGORY-EVIDENCE,,,,
west-edmonton-coin-stamp-edmonton,West Edmonton Coin & Stamp,Edmonton,AB,http://www.westedmontoncoinandstamp.com/,200,SPORTS-GENERIC,,,sports?\s*cards?,
tactical-magic-games-inc-fort-mcmurray,Tactical Magic Games Inc,Fort McMurray,AB,https://facebook.com/tacticalmagicgames,http-400,UNREACHABLE,,,,
strange-ideas-comics-and-collectibles-grande-prairie,Strange Ideas Comics and Collectibles,Grande Prairie,AB,https://www.strangeideascomics.ca/,200,NO-CATEGORY-EVIDENCE,,,,
king-arthur-s-collectibles-lethbridge,King Arthur's Collectibles,Lethbridge,AB,https://www.ebay.ca/str/kingarthurscollectiblescanada?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=aZbMmwG3Tr6&sssrc=3418065&ssuid=aZbMmwG3Tr6&widget_ver=artemis&media=COPY,200,SPORTS,Baseball|Football|Hockey,Baseball: \btopps\b/\bbowman\b; Football: \bdonruss\b; Hockey: \bupper\s*deck\b/\byoung\s*guns\b,\bpanini\b|\brookie\s*cards?\b|sports?\s*cards?,
personalized-sportcards-lethbridge,Personalized Sportcards,Lethbridge,AB,http://personalizedsportcards.com/,URLError,UNREACHABLE,,,,yes
pirates-cove-collectibles-ltd-lethbridge,Pirates Cove Collectibles Ltd,Lethbridge,AB,https://www.facebook.com/profile.php?id=100054447371205,http-400,UNREACHABLE,,,,
comic-readers-medicine-hat,Comic Readers,Medicine Hat,AB,https://comicreadersregina.wordpress.com/,200,TCG-ONLY,Lorcana|Magic|Yu-Gi-Oh,Lorcana: \blorcana\b; Magic: magic:?\s*the\s*gathering; Yu-Gi-Oh: yu-?gi-?oh,,
collectible-card-caddy-okotoks,Collectible Card Caddy,Okotoks,AB,http://collectiblecardcaddy.com/,URLError,UNREACHABLE,,,,
holmestead-sports-cards-collectibles-red-deer,Holmestead Sports Cards & Collectibles,Red Deer,AB,https://www.facebook.com/HOLMESTEADSCC,http-400,UNREACHABLE,,,,yes
paradise-games-and-customs-spruce-grove,Paradise Games and Customs,Spruce Grove,AB,http://paradisegames.ca/,200,NO-CATEGORY-EVIDENCE,,,,
