slug,Store Name,City,Province,Rating,Google address (verify match)
card-brawlers-montreal,Card Brawlers,Montréal,QC,4.9 (626),"Second floor, 7105 R. Saint-Denis Unit 202, Montreal, QC H2S 2S5, Canada"
l-imaginaire-pointe-claire-pointe-claire,L'Imaginaire Pointe-Claire,Pointe-Claire,QC,4.5 (301),"Y008, 6801 Trans-Canada Hwy, Pointe-Claire, QC H9R 1C4, Canada"
les-entreprises-bluenose-pointe-claire,Les Entreprises Bluenose,Pointe-Claire,QC,3.7 (265),"313 Boul. Saint-Jean, Pointe-Claire, QC H9R 3J2, Canada"
hobby-et-collection-tpm-quebec,Hobby et Collection (TPM),Québec,QC,4.4 (177),"550 Rue Fleur-de-Lys Local F-12, Québec, QC G1M 3E5, Canada"
tpm-hobby-et-collection-quebec,TPM Hobby et Collection,Québec,QC,4.4 (177),"550 Rue Fleur-de-Lys Local F-12, Québec, QC G1M 3E5, Canada"
l-imaginaire-quebec-quebec-ste-foy,L'Imaginaire Québec,Québec (Ste-Foy),QC,4.7 (2274),"2740 Boul Laurier, Québec, QC G1V 4P7, Canada"
galerie-du-jouet-roberval-roberval,Galerie du Jouet Roberval,Roberval,QC,4.4 (21),"Carrefour Jeannois, 1221 Bd Marcotte, Roberval, QC G8H 3B8, Canada"
la-zone-retro-rouyn-noranda,La Zone Rétro,Rouyn-Noranda,QC,4.8 (6),"11 Av. Principale, Rouyn-Noranda, QC J9X 4N8, Canada"
modern-tcg-rouyn-noranda,Modern TCG,Rouyn-Noranda,QC,4.6 (31),"149 Av. Principale, Rouyn-Noranda, QC J9X 4P3, Canada"
l-imaginaire-st-bruno-saint-bruno-de-montarville,L'Imaginaire St-Bruno,Saint-Bruno-de-Montarville,QC,4.7 (1454),"440 Bd des Promenades, Saint-Bruno-de-Montarville, QC J3V 6A8, Canada"
les-cartes-sportives-m-c-saint-eustache,Les Cartes Sportives M.C.,Saint-Eustache,QC,4.2 (6298),"455 Av. Mathers, Saint-Eustache, QC J7P 4C1, Canada"
3-mana-saint-hubert-longueuil,3 Mana,Saint-Hubert (Longueuil),QC,4.7 (118),"3075 Mnt Saint-Hubert, Saint-Hubert, QC J3Y 4J2, Canada"
la-madame-des-cartes-saint-hubert-longueuil,La madame des cartes,Saint-Hubert (Longueuil),QC,3.7 (1840),"3565 Bd Taschereau, Saint-Hubert, QC J4T 2G2, Canada"
boutique-la-coupe-stanley-saint-jerome,Boutique La Coupe Stanley,Saint-Jérôme,QC,4.7 (140),"778B Rue Labelle, Saint-Jérôme, QC J7Z 5M5, Canada"
l-imaginaire-sherbrooke-sherbrooke,L'Imaginaire Sherbrooke,Sherbrooke,QC,4.6 (792),"3050 boulevard de Portland, Carrefour de l'Estrie, Sherbrooke, QC J1L 1K1, Canada"
monnaie-sherbrooke-sherbrooke,Monnaie Sherbrooke,Sherbrooke,QC,4.7 (129),"Galeries 4 saisons, 930 13e Avenue N, Sherbrooke, QC J1E 3J7, Canada"
le-coin-du-jeu-terrebonne,Le Coin du Jeu,Terrebonne,QC,4.8 (387),"275 Mnt des Pionniers, Terrebonne, QC J6V 1H4, Canada"
l-imaginaire-trois-rivieres-trois-rivieres,L'Imaginaire Trois-Rivières,Trois-Rivières,QC,4.7 (817),"4225 Bd des Forges, Trois-Rivières, QC G8Y 1W2, Canada"
big-time-sportscards-regina,Big Time Sportscards,Regina,SK,4.6 (17),"1750 Mcara St, Regina, SK S4N 6L4, Canada"
man-cave-sports-cards-regina,Man Cave Sports Cards,Regina,SK,4.5 (122),"1408 Lorne St, Regina, SK S4R 2K4, Canada"
sportsworld-collectibles-regina,Sportsworld Collectibles,Regina,SK,3.8 (47),"489 Albert St N, Regina, SK S4R 3C3, Canada"
306-sports-cards-saskatoon,306 Sports Cards,Saskatoon,SK,5 (747),"718c Circle Dr, Saskatoon, SK S7K 3T7, Canada"
rad-cards-and-collectibles-saskatoon,RAD Cards and Collectibles,Saskatoon,SK,4 (69),"3510 8 St E A7, Saskatoon, SK S7H 0W6, Canada"
