slug,Services,Sports/TCG
power-up-gaming-barrie,Sells;Buys;Trades Singles,Football;Hockey;Magic;Pokemon
premium-sports-cards-london,Sells;Sells Wax,Baseball;Basketball;Football;Hockey;Pokemon
prisma-games-edmonton,Sells;Buys,
professional-sports-authenticator-psa-canada-mississauga,Sells;Grading Services,Baseball;Basketball;Football
putali-chowk-board-games-bar-windsor,Sells;Trade Nights,
pvp-shoppe-markham,Sells;Sells Wax,Pokemon;Magic;Other
quantum-comics-collectibles-camrose,Sells;Trade Nights,Pokemon
realm-hoppers-london,Sells;Buys;Trades Singles;Grading Services;Sells Wax;Trade Nights,Magic;Pokemon
red-dragon-comics-cards-games-ottawa,Sells;Sells Wax;Trade Nights,Hockey;Pokemon;Magic;Other
red-riot-games-mississauga,Sells,Pokemon;Magic;Other
relikks-cards-collectibles-toronto,Sells;Grading Services;Sells Wax;Breaks,Baseball;Basketball;Football;Hockey;Pokemon
retro-boyz-collectibles-vaughan,Sells,
retro-camrose,Sells;Trade Nights,
retrosaurus-hamilton,Sells;Buys,Pokemon
rogues-gallery-comics-windsor,Sells,
rolls-and-realms-inc-brantford,Sells,
rose-city-sports-n-collectables-windsor,Sells;Buys;Breaks,Football;Pokemon
royal-cat-records-guelph,Sells;Buys,
royalty-cards-and-collectibles-toronto,Sells;Buys;Sells Wax,Basketball;Football;Pokemon
sell-your-pokemon-cards-barrie,Sells;Buys;Sells Wax,Pokemon
sentry-box-cards-calgary,Sells;Buys,Magic;Pokemon
seven-sisters-ritual-apothecary-london,Sells,
shikdar-trading-inc-ottawa,Sells,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
showcase-comics-hobbies-ltd-comics-collectibles-rc-boardgames-lethbridge,Sells;Breaks,Baseball;Basketball;Football;Hockey;Magic;Pokemon
simply-wonderful-toys-gizmos-inc-guelph,Sells,Pokemon
sino-hobby-markham-markham,Sells,
skyfox-games-oshawa,Buys;Sells;Sells Wax,Pokemon;Magic;Other
slab-sharks-sports-cards-collectibles-consignment-mississauga,Buys;Sells,Hockey;Baseball;Basketball;Football;Pokemon;Other
snap-collectables-airdrie,Sells,
soar-hobby-more-windsor,Sells,Football;Hockey
soul-tcg-ottawa,Sells;Buys;Sells Wax;Breaks,Basketball;Football;Magic;Pokemon
sports-closet-sherwood-park,Sells,Baseball;Basketball;Football;Hockey
sports-closet-st-albert,Sells,Baseball;Basketball;Football;Hockey
springer-hobbies-markham,Sells;Trade Nights,Pokemon;Magic;Other
stephen-licence-bicycles-hobbies-belleville,Sells,
strange-ideas-comics-and-collectibles-grande-prairie,Sells,
studio-staja-ottawa,Sells;Sells Wax,
sunny-hobbies-toronto,Sells;Buys;Grading Services;Sells Wax;Trade Nights,Pokemon
tabletop-renaissance-games-hobbies-windsor,Sells,Football;Pokemon
taps-games-edmonton,Sells;Buys,Magic;Pokemon
the-3d-shoppe-oshawa,Sells;Sells Wax;Trade Nights,Magic;Pokemon;Other
the-bard-and-bear-games-cafe-hamilton-hamilton,Sells;Trade Nights,Football;Magic
the-beat-goes-on-guelph,Sells;Buys,
the-bookshelf-guelph,Sells,
the-card-goat-edmonton,Sells;Sells Wax,Hockey;Magic;Pokemon
the-cg-realm-windsor,Sells;Buys;Sells Wax,Magic;Pokemon
the-comic-book-shoppe-ottawa,Sells;Buys;Sells Wax,Magic
the-comic-doctor-inc-oshawa,Grading Services,
the-data-base-camrose-camrose,Sells,
the-dragon-guelph,Sells;Buys;Trade Nights,Magic;Pokemon
the-dragon-s-lair-unleashed-hamilton,Sells,
the-game-chamber-london,Sells;Sells Wax;Trade Nights,Magic;Pokemon
the-hobby-centre-ottawa,Sells;Buys,Pokemon
the-hobby-spot-leduc-quarantined-case-breaks-leduc,Sells;Buys;Sells Wax;Breaks;Trade Nights,Baseball;Hockey;Magic;Pokemon
the-mana-lounge-london,Sells;Sells Wax;Trade Nights,Basketball;Magic;Pokemon
the-rad-zone-sault-ste-marie,Sells,
the-rocking-horse-toys-kingston,Sells,
the-sword-board-toronto,Sells;Buys;Trades Singles;Sells Wax;Trade Nights,Magic;Pokemon
the-trading-post-guelph,Sells;Buys;Sells Wax;Trade Nights,Football;Magic;Pokemon
the-trading-post-sault-ste-marie,Sells,
the-upper-hand-mississauga,Sells,Pokemon;Magic;Other
thunderground-comics-and-collectibles-st-albert,Sells;Buys;Sells Wax;Trade Nights,Magic
tistaminis-hamilton,Sells,
tom-tech-repairs-game-vault-kingston-kingston,Sells,
top-shelf-co-oakville,Sells,Pokemon;Magic;Other
toybox-trading-co-vaughan,Sells,
toys-on-fire-ottawa,Sells,Baseball;Basketball;Football;Hockey;Magic;Pokemon
treasure-cove-comics-collectables-airdrie,Sells;Trade Nights,Magic;Pokemon
trinity-hobby-ottawa,Sells;Buys,Magic;Pokemon
up-north-games-huntsville,Sells;Trade Nights,Magic
valixya-greater-sudbury,Sells,
video-time-barrie,Sells;Buys,
vtrgaming-mississauga,Sells;Sells Wax,Pokemon;Magic;Other
vulcan-collectibles-ottawa,Sells;Buys;Grading Services;Sells Wax,Football;Magic;Pokemon
wandering-adventures-vaughan,Sells;Sells Wax;Trade Nights,Pokemon
warp-zone-gaming-mississauga,Sells,Pokemon
wax-box-club-vaughan,Sells,Basketball
wayne-s-sports-cards-collectibles-edmonton,Sells;Sells Wax,Baseball;Basketball;Football;Hockey;Pokemon
waypoint-games-hamilton,Sells;Buys;Sells Wax;Trade Nights,Magic;Pokemon
webber-s-balloons-cards-and-collectibles-hamilton,Sells;Sells Wax,Baseball;Basketball;Football;Hockey;Magic;Pokemon
west-s-sports-cards-edmonton,Sells;Sells Wax;Breaks,Baseball;Basketball;Football;Hockey;Pokemon
woodforsheep-hobbies-ltd-markham,Sells,Magic;Other
worlds-collide-oshawa,Sells;Sells Wax,Magic
wyndham-art-supplies-guelph,Sells,Basketball;Football
x-planet-games-mississauga,Sells;Trade Nights,Magic
xplore-games-toronto,Sells,
xtreme-r-c-raceways-oshawa,Sells,
yeg-nhlhockeystickers-com-edmonton,Sells,Hockey
