name,city,province,website,other_category,status,verdict,strong_hits,weak_hits
Go Go Hobbies,Coquitlam,BC,http://www.gogohobbies.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Blue Moon Collectables,Delta (Ladner),BC,https://www.bluemooncollectables.com/,no category matched,200,NO-CARD-EVIDENCE,,
SN Hobbies,New Westminster,BC,https://www.snhobbies.com/,rc,200,AMBIGUOUS,,\bhobby\b
Ebenezer's Comics & Collectibles,Vernon,BC,https://www.ebenezers.ca/,no category matched,200,AMBIGUOUS,,\bcomics?\b|collectib
K&B Hobbies and Games,Vernon,BC,https://www.kbhobbies.com/,no category matched,200,NO-CARD-EVIDENCE,,
Box Of Cards (Sports Cards),Aurora,ON,http://www.boxofcards.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Box Of Cards (Sports Cards),Barrie,ON,https://boxofcards.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Doug Laurie Sports,Barrie,ON,http://www.douglauriesports.com/,no category matched,200,CARDS-LIKELY,\btopps\b,
Ideal Hobbies,Barrie,ON,http://www.idealhobbies.com/,gundam/models;rc,200,AMBIGUOUS,,\bhobby\b
Video Time,Barrie,ON,http://www.videotime.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Stephen Licence Bicycles & Hobbies,Belleville,ON,https://stephenlicence.my.canva.site/stephenlicence/,no category matched,200,NO-CARD-EVIDENCE,,
Rolls and Realms Inc.,Brantford,ON,https://www.rollsandrealms.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Hall Of Fame Collection,Burlington,ON,http://racinghalloffamecollection.com/,no category matched,200,NO-CARD-EVIDENCE,,
Forbes Hobbies,Cambridge,ON,https://www.forbeshobbies.ca,no category matched,200,NO-CARD-EVIDENCE,,
Docs hobby shop,Greater Sudbury,ON,https://docs-hobby-shop.myshopify.com/,gundam/models,200,AMBIGUOUS,,\bhobby\b
Great White North Pottery Supplies,Greater Sudbury,ON,http://www.gwnpottery.ca/,no category matched,200,AMBIGUOUS,,\bcards?\b
Nepal Handicrafts,Greater Sudbury,ON,http://www.nepalhandicraftsontario.com/,no category matched,200,NO-CARD-EVIDENCE,,
Valixya,Greater Sudbury,ON,https://valixya.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Brodie's Gaming,Guelph,ON,http://brodiesgaming.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Royal Cat Records,Guelph,ON,http://royalcatrecords.blogspot.ca/,no category matched,200,NO-CARD-EVIDENCE,,
The Beat Goes On,Guelph,ON,http://www.beatgoeson.com/,gundam/models,200,AMBIGUOUS,,\bcards?\b|collectib
The Bookshelf,Guelph,ON,https://bookshelf.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Burdin's Comics,Hamilton,ON,http://www.burdinscomics.com/,no category matched,200,AMBIGUOUS,,\bcomics?\b
Digital Grade Submissions,Hamilton,ON,http://www.digitalgrade.io/,no category matched,200,CARDS-LIKELY,sports?\s*cards?,\bcards?\b|collectib
Never Board Games Lounge,Hamilton,ON,https://neverboardgames.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Retrosaurus,Hamilton,ON,http://retrosaurus.ca/,no category matched,200,AMBIGUOUS,,\bcomics?\b
The Dragon's Lair Unleashed,Hamilton,ON,http://www.dragonslairunleashed.com/,no category matched,200,AMBIGUOUS,,collectib
Art Noise,Kingston,ON,http://shop.artnoise.ca/,no category matched,200,AMBIGUOUS,,\bcards?\b|\bhobby\b
Chumleighs,Kingston,ON,http://www.chumleighs.com/,no category matched,200,NO-CARD-EVIDENCE,,
Minotaur Games and Gifts,Kingston,ON,http://www.minotaurgifts.com/,greeting cards,200,AMBIGUOUS,,\bcards?\b
Novel Idea,Kingston,ON,http://novelideabooks.ca/wp/,greeting cards,200,AMBIGUOUS,,\bcards?\b
The Rocking Horse Toys,Kingston,ON,http://www.therockinghorse.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Tom Tech Repairs & Game Vault Kingston,Kingston,ON,https://games.tomtechrepairs.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Cellular Magician,London,ON,https://www.cellularmagician.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Game Cycle Hamilton Road,London,ON,http://www.gamecycle.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Game Cycle London Wharncliffe,London,ON,http://www.gclw.ca/,no category matched,200,NO-CARD-EVIDENCE,,
