slug,name,city,province,website,address
cardboard-hero-oshawa,Cardboard Hero,Oshawa,ON,http://www.cardboardhero.com/,"88 Simcoe St N, Oshawa, ON L1G 4S2"
comic-alley-toys-oshawa,Comic Alley Toys,Oshawa,ON,https://linktr.ee/comicalleytoys?utm_source=linktree_profile_share&ltsid=f56cfd19-af61-4c35-9f99-4ebb1ad7093f,"9 Bond St W, Oshawa, ON L1H 1A3"
deck-out-gaming-oshawa,Deck Out Gaming,Oshawa,ON,https://deckoutgaming.ca/,"1255 Skae Dr #5, Oshawa, ON L1J 7A3"
f-g-bradley-s-oshawa,F.G.Bradley's,Oshawa,ON,https://www.fgbradleys.com/,"Oshawa Centre, 419 King St W Unit #2015, Oshawa, ON L1J 2K5"
fly-by-nite-movies-games-and-toys-oshawa,"Fly By Nite Movies, Games, and Toys",Oshawa,ON,https://flybynitecollectibles.square.site/,"15 Bond St E, Oshawa, ON L1G 1A8"
g-a-m-e-s-oshawa,G A M E S,Oshawa,ON,http://www.facebook.com/GamesAreMySource,"1180 Simcoe St N, Oshawa, ON L1G 4W8"
gnu-books-oshawa,GNU Books,Oshawa,ON,http://www.gnubooks.net/,"Northway Plaza, 1120 Simcoe St N, Oshawa, ON L1G 4W6"
great-hobbies-oshawa,Great Hobbies,Oshawa,ON,http://www.greathobbies.com/,"991 Taunton Rd E Unit 6B, Oshawa, ON L1K 2M6, Canada"
hallmark-oshawa,Hallmark,Oshawa,ON,https://stores.hallmark.com/on/oshawa/hallmark-oshawa-on-031267.html,"991 Taunton Rd E Unit 6, Oshawa, ON L1K 0Z7"
new-rave-tcg-hobbies-oshawa,New Rave TCG & Hobbies,Oshawa,ON,https://newrave.ca/,"1300 King St E #11, Oshawa, ON L1H 8J4"
over-the-top-gaming-oshawa,Over The Top Gaming,Oshawa,ON,https://overthetopgaming.ca/,"909 Simcoe St N Unit 204, Oshawa, ON L1G 4W1"
skyfox-games-oshawa,Skyfox Games,Oshawa,ON,http://www.skyfoxgames.com/,"86 William St E, Oshawa, ON L1G 1K6"
the-3d-shoppe-oshawa,The 3D Shoppe,Oshawa,ON,http://the3dshoppe.ca/,"88 King St W, Oshawa, ON L1H 1A6"
the-comic-doctor-inc-oshawa,The Comic Doctor Inc,Oshawa,ON,http://www.thecomicdoctor.com/,"Unit #5, 90 Russett Ave, Oshawa, ON L1G 3R5"
the-entertainment-cube-oshawa,The Entertainment Cube,Oshawa,ON,http://www.facebook.com/cubeclown/,"5 Bond St W, Oshawa, ON L1G 1A1"
worlds-collide-oshawa,Worlds Collide,Oshawa,ON,http://www.worldscollide.ca/,"10 Simcoe St N, Oshawa, ON L1G 4R8"
xtreme-r-c-raceways-oshawa,Xtreme R/C & Raceways,Oshawa,ON,https://www.xtremerc.ca/,"57 Simcoe St S, Oshawa, ON L1H 4G4, Canada"
buying-sports-cards-comics-ottawa,Buying Sports Cards & Comics,Ottawa,ON,http://cardandcomicbuyer.com/,"1701 Woodroffe Ave, Ottawa, ON K2G 1W2"
carsncards-com-ottawa,carsncards.com,Ottawa,ON,https://carsncards.com/,"1010 Polytek St #33, Ottawa, ON K1J 9J2"
carta-magica-ottawa-ottawa,Carta Magica Ottawa,Ottawa,ON,http://www.cartamagicaottawa.com/,"1179 St. Laurent Blvd, Ottawa, ON K1K 3B7"
danireon-cards-games-ottawa,Danireon Cards & Games,Ottawa,ON,https://www.danireon.com/,"250 Centrum Blvd Unit 110, Ottawa, ON K1E 3L8"
dxhers-ottawa,Dxhers,Ottawa,ON,https://www.dxhers.ca/,"Claudet Crescent, Ottawa, ON K1G 4R3"
empire-trading-tcg-ottawa,Empire Trading TCG,Ottawa,ON,https://www.empiretradings.com/,"1980 Ogilvie Rd #113, Gloucester, ON K1J 9L3"
entertainment-ink-ottawa,Entertainment Ink!,Ottawa,ON,https://entertainmentink.ca/,"110 Place d'Orléans Dr, Orléans, ON K1E 0B6"
game-breakers-sports-cards-ottawa,Game Breakers Sports Cards,Ottawa,ON,http://gamebreakers.ca/,"780 Baseline Rd Unit 11, Ottawa, ON K2C 3V8"
hobbiesville-ottawa,Hobbiesville,Ottawa,ON,https://hobbiesville.com/,"2635 Blackwell St Unit 5, Ottawa, ON K1B 4E4"
hobbiesville-ottawa-ottawa,Hobbiesville Ottawa,Ottawa,ON,https://hobbiesville.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"607 Somerset St W, Ottawa, ON K1R 6C6"
imaginaire-store-ottawa-ottawa,Imaginaire Store Ottawa,Ottawa,ON,http://www.imaginaire.com/,"50 Rideau St Level 3, Ottawa, ON K1N 9J7"
minty-fresh-collectibles-ottawa,Minty Fresh Collectibles,Ottawa,ON,https://mintyfreshcollectible.ca/,"16 Green St Unit 202, Nepean, ON K2J 3R2"
nabema-collectibles-ottawa,Nabema Collectibles,Ottawa,ON,http://www.nabemacollectibles.com/,"1615 Orléans Blvd #108, Ottawa, ON K1C 7E2"
nefarious-comics-ottawa,Nefarious Comics,Ottawa,ON,http://www.nefariouscomics.com/,"386a Bank St, Ottawa, ON K2P 1Y4"
nostalgia-warehouse-ottawa,Nostalgia Warehouse,Ottawa,ON,https://www.facebook.com/nostalgiawarehouseottawa/,"233-C Armstrong St, Ottawa, ON K1Y 1B4"
out-of-the-box-ottawa,Out of the Box,Ottawa,ON,https://www.outoftheboxcards.com/,"1826 Robertson Rd Unit 16 Suite 321, Nepean, ON K2H 5Z6"
pokemon-tcg-supply-ottawa,Pokemon TCG Supply,Ottawa,ON,https://www.facebook.com/share/1CNPHB3Gmx/?mibextid=wwXIfr,"90 Elgin St, Ottawa, ON K1P 5E9"
red-dragon-comics-cards-games-ottawa,"Red Dragon Comics, Cards, Games",Ottawa,ON,http://www.red-dragon.ca/,"6008 Voyageur Dr, Orléans, ON K1C 2K1"
shikdar-trading-inc-ottawa,Shikdar Trading Inc.,Ottawa,ON,http://www.shikdartrading.com/,"1564 Carling Ave, Ottawa, ON K1Z 7M4"
soul-tcg-ottawa,Soul TCG,Ottawa,ON,https://www.soultcg.com/,"50 Rideau St, Ottawa, ON K1N 9J7"
